Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
1699566.184489756590	672257.066683481797	-1068990.605176314944	-412667.774913452216	0.380680054373	0.204859040712	0.090779091914
1699566.184497662354	672257.066686491366	-1068990.605174695374	-412667.774912734516	0.380680054373	0.204859040712	0.090779091914
1699566.184513473650	672257.066692510503	-1068990.605171456235	-412667.774911299173	0.380680054372	0.204859040713	0.090779091915
1699566.184545096476	672257.066704548663	-1068990.605164977955	-412667.774908428488	0.380680054371	0.204859040715	0.090779091915
1699566.184608342126	672257.066728624981	-1068990.605152021628	-412667.774902687117	0.380680054369	0.204859040719	0.090779091916
1699566.184734833194	672257.066776777618	-1068990.605126108741	-412667.774891204375	0.380680054364	0.204859040728	0.090779091919
1699566.184987815330	672257.066873082891	-1068990.605074282968	-412667.774868238892	0.380680054354	0.204859040744	0.090779091923
1699566.185493779834	672257.067065693438	-1068990.604970631655	-412667.774822307925	0.380680054334	0.204859040777	0.090779091932
1699566.186505708611	672257.067450914532	-1068990.604763328796	-412667.774730445934	0.380680054294	0.204859040843	0.090779091950
1699566.188529566396	672257.068221356836	-1068990.604348723311	-412667.774546721950	0.380680054214	0.204859040975	0.090779091986
1699566.192577281734	672257.069762241328	-1068990.603519512108	-412667.774179274042	0.380680054053	0.204859041240	0.090779092057
1699566.200672712643	672257.072844010312	-1068990.601861089934	-412667.773444378166	0.380680053733	0.204859041768	0.090779092200
1699566.216863574227	672257.079007548396	-1068990.598544245586	-412667.771974586416	0.380680053093	0.204859042825	0.090779092487
1699566.249245297397	672257.091334624449	-1068990.591910556657	-412667.769035002973	0.380680051811	0.204859044939	0.090779093059
1699566.314008743968	672257.115988776553	-1068990.578643178800	-412667.763155836030	0.380680049249	0.204859049168	0.090779094205
1699566.443535636878	672257.165297080181	-1068990.552108422155	-412667.751397501852	0.380680044125	0.204859057624	0.090779096495
1699566.702589422697	672257.263913685456	-1068990.499038905604	-412667.727880832623	0.380680033876	0.204859074537	0.090779101077
1699567.220696994569	672257.461146888090	-1068990.392899859231	-412667.680847490614	0.380680013378	0.204859108362	0.090779110239
1699568.256912138313	672257.855613261578	-1068990.180621713866	-412667.586780792335	0.380679972382	0.204859176013	0.090779128565
1699570.329342425568	672258.644545881194	-1068989.756065212656	-412667.398647338850	0.380679890391	0.204859311316	0.090779165215
1699574.474203000311	672260.222410610644	-1068988.906951369019	-412667.022380204056	0.380679726409	0.204859581920	0.090779238516
1699582.763924149796	672263.378138030414	-1068987.208720316878	-412666.269845022936	0.380679398447	0.204860123132	0.090779385118
1699599.343366448767	672269.689584714011	-1068983.812244753120	-412664.764771014859	0.380678742532	0.204861205562	0.090779678322
1699632.502251046710	672282.312445457559	-1068977.019239786780	-412661.754608415184	0.380677430737	0.204863370449	0.090780264733
1699698.820020242594	672307.558036455535	-1068963.433014495531	-412655.734224881453	0.380674807289	0.204867700331	0.090781437562
1699831.455558634130	672358.048696539132	-1068936.259702444542	-412643.693224473915	0.380669560959	0.204876360528	0.090783783253
1700096.726635417202	672459.027929407312	-1068881.909632201074	-412619.610290278564	0.380659070563	0.204893682657	0.090788474765
1700627.268788983347	672660.978048747638	-1068773.195704998216	-412571.440688204602	0.380638098815	0.204928333869	0.090797858315
1701688.353096115636	673064.844924190198	-1068555.712686460931	-412475.086547998071	0.380596191375	0.204997664243	0.090816627580
1703810.521710380446	673872.445399989258	-1068120.525853684172	-412282.318512271857	0.380512519818	0.205136437821	0.090854175246
1705932.690324645257	674679.868511932553	-1067685.044358677231	-412089.470780377043	0.380429037618	0.205275363800	0.090891735994
1708054.858938910067	675487.114659631276	-1067249.267875541234	-411896.543323411955	0.380345742665	0.205414444513	0.090929310897
1712299.196167439688	677101.077638252988	-1066376.828616642393	-411510.449107289314	0.380179705950	0.205693079357	0.091004507438
1716543.533395969309	678714.337441880605	-1065503.205372131895	-411124.035587450606	0.380014392340	0.205972360553	0.091079773338
1725032.207853028318	681938.759576690267	-1063752.395724476082	-410350.249352243554	0.379685863312	0.206532932905	0.091230546528
1733520.882310087327	685160.404398681480	-1061996.815793660702	-409575.181700532208	0.379360009883	0.207096299533	0.091381695958
1742009.556767146336	688379.293981703930	-1060236.441297773505	-408798.829167553980	0.379036681071	0.207662592096	0.091533285223
1758986.905681264587	694808.889221987221	-1056701.206019665580	-407242.252937839774	0.378396969119	0.208804449137	0.091838027582
1775964.254595382838	701227.695133810630	-1053146.474810980028	-405680.482622082578	0.377765427076	0.209959425492	0.092145241155
1792941.603509501088	707635.838894733693	-1049572.017928470625	-404113.472556735564	0.377140692314	0.211128333333	0.092455358113
1809918.952423619339	714033.424111226690	-1045977.592791701783	-402541.170057842741	0.376521351540	0.212311873123	0.092768773382
1843873.650251855841	726797.210770521895	-1038727.814931690809	-399380.445866627968	0.375293013919	0.214725086847	0.093406884721
