Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
0.000000	1.010619	0.000000	0.000088	0.000000	-0.004032	0.001982
0.031416	1.010617	-0.000127	0.000150	-0.000095	-0.004024	0.001968
0.062832	1.010613	-0.000253	0.000212	-0.000189	-0.004000	0.001946
0.094248	1.010605	-0.000378	0.000272	-0.000283	-0.003961	0.001917
0.125664	1.010595	-0.000501	0.000332	-0.000375	-0.003905	0.001881
0.157080	1.010582	-0.000623	0.000391	-0.000465	-0.003835	0.001839
0.188496	1.010566	-0.000742	0.000448	-0.000552	-0.003749	0.001790
0.219911	1.010547	-0.000858	0.000503	-0.000637	-0.003648	0.001735
0.251327	1.010526	-0.000971	0.000556	-0.000718	-0.003532	0.001674
0.282743	1.010502	-0.001080	0.000608	-0.000795	-0.003403	0.001607
0.314159	1.010476	-0.001185	0.000657	-0.000869	-0.003260	0.001535
0.345575	1.010447	-0.001285	0.000704	-0.000937	-0.003104	0.001458
0.376991	1.010417	-0.001380	0.000749	-0.001001	-0.002935	0.001376
0.408407	1.010385	-0.001469	0.000791	-0.001059	-0.002755	0.001290
0.439823	1.010350	-0.001553	0.000830	-0.001112	-0.002563	0.001200
0.471239	1.010315	-0.001630	0.000866	-0.001159	-0.002360	0.001105
0.502655	1.010278	-0.001701	0.000899	-0.001201	-0.002148	0.001007
0.534071	1.010239	-0.001765	0.000929	-0.001236	-0.001926	0.000906
0.565487	1.010200	-0.001822	0.000956	-0.001265	-0.001696	0.000802
0.596903	1.010160	-0.001871	0.000980	-0.001287	-0.001458	0.000696
0.628319	1.010119	-0.001913	0.001000	-0.001304	-0.001214	0.000587
0.659734	1.010078	-0.001948	0.001017	-0.001314	-0.000963	0.000476
0.691150	1.010037	-0.001974	0.001030	-0.001317	-0.000708	0.000364
0.722566	1.009995	-0.001992	0.001040	-0.001315	-0.000449	0.000250
0.753982	1.009954	-0.002002	0.001046	-0.001307	-0.000186	0.000136
0.785398	1.009913	-0.002004	0.001048	-0.001292	0.000078	0.000022
0.816814	1.009873	-0.001997	0.001047	-0.001273	0.000344	-0.000093
0.848230	1.009833	-0.001982	0.001042	-0.001248	0.000609	-0.000208
0.879646	1.009795	-0.001959	0.001034	-0.001218	0.000874	-0.000321
0.911062	1.009757	-0.001927	0.001022	-0.001183	0.001136	-0.000434
0.942478	1.009720	-0.001887	0.001007	-0.001144	0.001395	-0.000545
0.973894	1.009685	-0.001840	0.000988	-0.001100	0.001649	-0.000655
1.005310	1.009651	-0.001784	0.000966	-0.001054	0.001898	-0.000762
1.036726	1.009619	-0.001720	0.000940	-0.001003	0.002140	-0.000867
1.068142	1.009588	-0.001650	0.000911	-0.000950	0.002374	-0.000970
1.099557	1.009559	-0.001571	0.000879	-0.000894	0.002599	-0.001069
1.130973	1.009532	-0.001486	0.000844	-0.000836	0.002813	-0.001165
1.162389	1.009507	-0.001395	0.000806	-0.000775	0.003016	-0.001257
1.193805	1.009484	-0.001297	0.000765	-0.000713	0.003207	-0.001344
1.225221	1.009462	-0.001193	0.000721	-0.000649	0.003385	-0.001428
1.256637	1.009443	-0.001084	0.000675	-0.000585	0.003548	-0.001507
1.288053	1.009425	-0.000971	0.000627	-0.000519	0.003695	-0.001581
1.319469	1.009410	-0.000852	0.000576	-0.000452	0.003826	-0.001649
1.350885	1.009397	-0.000730	0.000523	-0.000385	0.003941	-0.001712
1.382301	1.009386	-0.000605	0.000469	-0.000317	0.004038	-0.001770
1.413717	1.009377	-0.000477	0.000412	-0.000248	0.004116	-0.001821
1.445133	1.009370	-0.000347	0.000354	-0.000180	0.004176	-0.001866
1.476549	1.009366	-0.000215	0.000295	-0.000111	0.004217	-0.001904
1.507964	1.009363	-0.000082	0.000235	-0.000042	0.004239	-0.001936
1.539380	1.009363	0.000051	0.000173	0.000027	0.004241	-0.001960
1.570796	1.009365	0.000184	0.000112	0.000095	0.004224	-0.001978
1.602212	1.009369	0.000317	0.000049	0.000164	0.004187	-0.001988
1.633628	1.009375	0.000447	-0.000013	0.000233	0.004132	-0.001990
1.665044	1.009384	0.000576	-0.000076	0.000301	0.004057	-0.001985
1.696460	1.009394	0.000702	-0.000138	0.000369	0.003965	-0.001972
1.727876	1.009407	0.000825	-0.000200	0.000437	0.003854	-0.001951
1.759292	1.009422	0.000944	-0.000260	0.000504	0.003727	-0.001922
1.790708	1.009439	0.001059	-0.000320	0.000570	0.003583	-0.001885
1.822124	1.009457	0.001169	-0.000379	0.000635	0.003423	-0.001840
1.853540	1.009478	0.001274	-0.000436	0.000699	0.003249	-0.001787
1.884956	1.009501	0.001373	-0.000491	0.000761	0.003061	-0.001726
1.916372	1.009526	0.001466	-0.000544	0.000822	0.002861	-0.001657
1.947787	1.009553	0.001553	-0.000595	0.000881	0.002649	-0.001581
1.979203	1.009582	0.001632	-0.000643	0.000937	0.002426	-0.001498
2.010619	1.009612	0.001705	-0.000689	0.000991	0.002194	-0.001408
2.042035	1.009644	0.001770	-0.000732	0.001042	0.001954	-0.001311
2.073451	1.009677	0.001828	-0.000771	0.001090	0.001706	-0.001207
2.104867	1.009712	0.001877	-0.000808	0.001134	0.001453	-0.001098
2.136283	1.009749	0.001919	-0.000840	0.001174	0.001195	-0.000983
2.167699	1.009786	0.001952	-0.000869	0.001210	0.000934	-0.000864
2.199115	1.009825	0.001978	-0.000894	0.001241	0.000670	-0.000740
2.230531	1.009864	0.001994	-0.000916	0.001267	0.000404	-0.000612
2.261947	1.009904	0.002003	-0.000933	0.001288	0.000139	-0.000481
2.293363	1.009945	0.002003	-0.000946	0.001304	-0.000126	-0.000348
2.324779	1.009986	0.001995	-0.000955	0.001314	-0.000389	-0.000213
2.356194	1.010027	0.001979	-0.000959	0.001317	-0.000649	-0.000077
2.387610	1.010069	0.001954	-0.000960	0.001315	-0.000905	0.000060
2.419026	1.010110	0.001922	-0.000956	0.001306	-0.001157	0.000196
2.450442	1.010151	0.001882	-0.000947	0.001292	-0.001403	0.000331
2.481858	1.010191	0.001834	-0.000935	0.001270	-0.001642	0.000464
2.513274	1.010230	0.001779	-0.000918	0.001243	-0.001874	0.000596
2.544690	1.010269	0.001716	-0.000897	0.001209	-0.002098	0.000724
2.576106	1.010306	0.001647	-0.000873	0.001169	-0.002312	0.000848
2.607522	1.010342	0.001571	-0.000844	0.001124	-0.002517	0.000968
2.638938	1.010377	0.001489	-0.000812	0.001072	-0.002712	0.001084
2.670354	1.010410	0.001401	-0.000776	0.001015	-0.002895	0.001194
2.701770	1.010441	0.001307	-0.000737	0.000952	-0.003066	0.001298
2.733186	1.010469	0.001208	-0.000695	0.000885	-0.003226	0.001396
2.764602	1.010496	0.001104	-0.000649	0.000812	-0.003372	0.001487
2.796017	1.010520	0.000996	-0.000601	0.000736	-0.003504	0.001571
2.827433	1.010542	0.000884	-0.000551	0.000656	-0.003623	0.001648
2.858849	1.010562	0.000769	-0.000498	0.000572	-0.003727	0.001718
2.890265	1.010578	0.000650	-0.000443	0.000485	-0.003816	0.001779
2.921681	1.010592	0.000529	-0.000386	0.000396	-0.003891	0.001833
2.953097	1.010603	0.000406	-0.000328	0.000304	-0.003949	0.001879
2.984513	1.010611	0.000281	-0.000268	0.000211	-0.003993	0.001917
3.015929	1.010616	0.000155	-0.000207	0.000117	-0.004020	0.001947
3.047345	1.010618	0.000029	-0.000146	0.000022	-0.004032	0.001969
3.078761	1.010618	-0.000098	-0.000084	-0.000073	-0.004027	0.001984
3.110177	1.010614	-0.000224	-0.000021	-0.000168	-0.004007	0.001990
3.141593	1.010607	-0.000349	0.000041	-0.000262	-0.003971	0.001988
3.173009	1.010597	-0.000473	0.000104	-0.000354	-0.003919	0.001979
3.204425	1.010585	-0.000595	0.000166	-0.000444	-0.003852	0.001963
3.235840	1.010570	-0.000715	0.000227	-0.000532	-0.003770	0.001939
3.267256	1.010551	-0.000832	0.000287	-0.000618	-0.003672	0.001909
3.298672	1.010531	-0.000946	0.000347	-0.000700	-0.003560	0.001871
3.330088	1.010508	-0.001056	0.000405	-0.000778	-0.003434	0.001827
3.361504	1.010482	-0.001161	0.000461	-0.000852	-0.003294	0.001777
3.392920	1.010454	-0.001262	0.000516	-0.000922	-0.003141	0.001720
3.424336	1.010424	-0.001359	0.000569	-0.000987	-0.002975	0.001658
3.455752	1.010392	-0.001449	0.000620	-0.001046	-0.002797	0.001590
3.487168	1.010358	-0.001534	0.000669	-0.001101	-0.002607	0.001517
3.518584	1.010323	-0.001613	0.000716	-0.001149	-0.002407	0.001438
3.550000	1.010286	-0.001685	0.000760	-0.001192	-0.002197	0.001355
3.581416	1.010248	-0.001751	0.000801	-0.001228	-0.001977	0.001268
3.612832	1.010209	-0.001809	0.000839	-0.001259	-0.001749	0.001177
3.644247	1.010169	-0.001861	0.000875	-0.001283	-0.001513	0.001081
3.675663	1.010129	-0.001904	0.000907	-0.001300	-0.001270	0.000983
3.707079	1.010088	-0.001940	0.000936	-0.001312	-0.001021	0.000881
3.738495	1.010046	-0.001969	0.000962	-0.001317	-0.000767	0.000776
3.769911	1.010005	-0.001989	0.000985	-0.001316	-0.000508	0.000669
3.801327	1.009964	-0.002000	0.001004	-0.001309	-0.000246	0.000559
3.832743	1.009923	-0.002004	0.001020	-0.001296	0.000018	0.000448
3.864159	1.009882	-0.001999	0.001033	-0.001278	0.000283	0.000336
3.895575	1.009842	-0.001986	0.001041	-0.001254	0.000549	0.000222
3.926991	1.009803	-0.001965	0.001047	-0.001225	0.000814	0.000108
3.958407	1.009766	-0.001935	0.001048	-0.001191	0.001076	-0.000007
3.989823	1.009729	-0.001897	0.001046	-0.001153	0.001336	-0.000122
4.021239	1.009693	-0.001851	0.001040	-0.001111	0.001592	-0.000236
4.052655	1.009659	-0.001797	0.001031	-0.001065	0.001842	-0.000349
4.084070	1.009626	-0.001736	0.001019	-0.001015	0.002085	-0.000462
4.115486	1.009595	-0.001666	0.001002	-0.000962	0.002321	-0.000573
4.146902	1.009566	-0.001590	0.000983	-0.000907	0.002548	-0.000682
4.178318	1.009538	-0.001506	0.000959	-0.000849	0.002765	-0.000789
4.209734	1.009513	-0.001416	0.000933	-0.000789	0.002971	-0.000893
4.241150	1.009489	-0.001320	0.000903	-0.000727	0.003165	-0.000995
4.272566	1.009467	-0.001218	0.000871	-0.000664	0.003345	-0.001093
4.303982	1.009447	-0.001110	0.000835	-0.000599	0.003512	-0.001188
4.335398	1.009429	-0.000997	0.000796	-0.000534	0.003663	-0.001279
4.366814	1.009413	-0.000880	0.000754	-0.000467	0.003798	-0.001366
4.398230	1.009400	-0.000759	0.000710	-0.000400	0.003916	-0.001448
4.429646	1.009388	-0.000634	0.000664	-0.000332	0.004017	-0.001526
4.461062	1.009379	-0.000506	0.000614	-0.000264	0.004100	-0.001598
4.492477	1.009372	-0.000377	0.000563	-0.000196	0.004164	-0.001665
4.523893	1.009367	-0.000245	0.000510	-0.000127	0.004209	-0.001727
4.555309	1.009364	-0.000112	0.000455	-0.000058	0.004235	-0.001783
4.586725	1.009363	0.000021	0.000398	0.000011	0.004242	-0.001833
4.618141	1.009364	0.000154	0.000340	0.000080	0.004229	-0.001876
4.649557	1.009368	0.000287	0.000280	0.000149	0.004197	-0.001913
4.680973	1.009374	0.000418	0.000220	0.000217	0.004146	-0.001943
4.712389	1.009382	0.000547	0.000158	0.000286	0.004076	-0.001965
4.743805	1.009392	0.000674	0.000096	0.000354	0.003987	-0.001981
4.775221	1.009404	0.000797	0.000034	0.000421	0.003881	-0.001989
4.806637	1.009418	0.000917	-0.000029	0.000488	0.003757	-0.001990
4.838053	1.009435	0.001033	-0.000091	0.000555	0.003617	-0.001982
4.869469	1.009453	0.001144	-0.000153	0.000620	0.003461	-0.001967
4.900885	1.009473	0.001250	-0.000215	0.000684	0.003290	-0.001944
4.932300	1.009496	0.001351	-0.000275	0.000747	0.003105	-0.001913
4.963716	1.009520	0.001445	-0.000335	0.000808	0.002907	-0.001874
4.995132	1.009547	0.001533	-0.000393	0.000868	0.002698	-0.001827
5.026548	1.009575	0.001615	-0.000450	0.000925	0.002478	-0.001772
5.057964	1.009605	0.001689	-0.000504	0.000979	0.002248	-0.001710
5.089380	1.009636	0.001756	-0.000557	0.001031	0.002009	-0.001639
5.120796	1.009670	0.001815	-0.000607	0.001079	0.001763	-0.001561
5.152212	1.009704	0.001867	-0.000655	0.001124	0.001512	-0.001476
5.183628	1.009740	0.001910	-0.000700	0.001165	0.001255	-0.001384
5.215044	1.009777	0.001945	-0.000742	0.001202	0.000994	-0.001286
5.246460	1.009816	0.001972	-0.000781	0.001235	0.000730	-0.001181
5.277876	1.009855	0.001991	-0.000816	0.001262	0.000465	-0.001070
5.309292	1.009895	0.002002	-0.000848	0.001284	0.000199	-0.000954
5.340708	1.009936	0.002004	-0.000876	0.001301	-0.000066	-0.000833
5.372123	1.009977	0.001998	-0.000900	0.001312	-0.000329	-0.000708
5.403539	1.010018	0.001983	-0.000920	0.001317	-0.000590	-0.000580
5.434955	1.010059	0.001961	-0.000936	0.001316	-0.000847	-0.000449
5.466371	1.010100	0.001930	-0.000948	0.001309	-0.001100	-0.000315
5.497787	1.010141	0.001892	-0.000956	0.001296	-0.001347	-0.000179
5.529203	1.010182	0.001845	-0.000960	0.001276	-0.001588	-0.000043
5.560619	1.010222	0.001792	-0.000959	0.001250	-0.001822	0.000093
5.592035	1.010260	0.001731	-0.000954	0.001218	-0.002047	0.000229
5.623451	1.010298	0.001663	-0.000945	0.001179	-0.002264	0.000364
5.654867	1.010334	0.001589	-0.000931	0.001135	-0.002471	0.000497
5.686283	1.010369	0.001508	-0.000913	0.001084	-0.002668	0.000628
5.717699	1.010402	0.001421	-0.000892	0.001028	-0.002854	0.000755
5.749115	1.010434	0.001329	-0.000866	0.000967	-0.003028	0.000878
5.780530	1.010463	0.001231	-0.000836	0.000900	-0.003190	0.000997
5.811946	1.010490	0.001129	-0.000803	0.000829	-0.003339	0.001111
5.843362	1.010515	0.001021	-0.000767	0.000754	-0.003475	0.001220
5.874778	1.010538	0.000910	-0.000727	0.000674	-0.003597	0.001323
5.906194	1.010557	0.000796	-0.000684	0.000591	-0.003704	0.001419
5.937610	1.010575	0.000678	-0.000638	0.000505	-0.003797	0.001508
5.969026	1.010589	0.000557	-0.000589	0.000416	-0.003875	0.001591
6.000442	1.010601	0.000434	-0.000538	0.000325	-0.003937	0.001666
6.031858	1.010610	0.000310	-0.000484	0.000232	-0.003984	0.001734
6.063274	1.010615	0.000184	-0.000429	0.000138	-0.004015	0.001794
6.094690	1.010618	0.000058	-0.000372	0.000043	-0.004030	0.001846
6.126106	1.010618	-0.000069	-0.000313	-0.000052	-0.004030	0.001890
6.157522	1.010615	-0.000195	-0.000253	-0.000146	-0.004013	0.001926
6.188938	1.010609	-0.000321	-0.000192	-0.000240	-0.003981	0.001954
6.220353	1.010600	-0.000445	-0.000130	-0.000333	-0.003932	0.001974
6.251769	1.010588	-0.000568	-0.000068	-0.000424	-0.003869	0.001986
6.283185	1.010573	-0.000688	-0.000006	-0.000513	-0.003790	0.001990
6.314601	1.010556	-0.000806	0.000057	-0.000599	-0.003696	0.001987
6.346017	1.010536	-0.000920	0.000119	-0.000681	-0.003587	0.001976
6.377433	1.010513	-0.001031	0.000181	-0.000761	-0.003464	0.001958
6.408849	1.010488	-0.001138	0.000242	-0.000836	-0.003327	0.001932
6.440265	1.010461	-0.001240	0.000302	-0.000906	-0.003177	0.001900
6.471681	1.010431	-0.001337	0.000361	-0.000972	-0.003014	0.001861
6.503097	1.010400	-0.001429	0.000419	-0.001033	-0.002839	0.001815
6.534513	1.010366	-0.001515	0.000475	-0.001089	-0.002652	0.001763
6.565929	1.010331	-0.001596	0.000530	-0.001139	-0.002454	0.001705
6.597345	1.010295	-0.001669	0.000582	-0.001183	-0.002246	0.001641
6.628760	1.010257	-0.001737	0.000633	-0.001221	-0.002028	0.001572
6.660176	1.010218	-0.001797	0.000681	-0.001252	-0.001802	0.001498
6.691592	1.010178	-0.001850	0.000727	-0.001278	-0.001568	0.001418
6.723008	1.010138	-0.001895	0.000770	-0.001297	-0.001326	0.001334
6.754424	1.010097	-0.001933	0.000811	-0.001310	-0.001078	0.001246
6.785840	1.010056	-0.001963	0.000848	-0.001316	-0.000825	0.001153
6.817256	1.010014	-0.001985	0.000883	-0.001317	-0.000567	0.001057
6.848672	1.009973	-0.001998	0.000915	-0.001311	-0.000306	0.000958
6.880088	1.009932	-0.002004	0.000943	-0.001300	-0.000043	0.000855
